SPRUCE_ID,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero
SPRUCE 2294,AvgTemp10cm,AvgTemp10cm,-0.08811257459061704,0.0327874623747097,0.012390016517564006,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2292,AvgTemp10cm,AvgTemp10cm,-0.08811257459061908,0.03278746237470968,0.012390016517562186,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 689,AvgTemp10cm,AvgTemp10cm,-0.08811257459062062,0.03278746237470968,0.012390016517560826,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2285,AvgTemp10cm,AvgTemp10cm,-0.08811257459061755,0.03278746237470967,0.012390016517563492,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2300,AvgTemp10cm,AvgTemp10cm,-0.08811257459061858,0.032787462374709656,0.012390016517562562,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2296,AvgTemp10cm,AvgTemp10cm,-0.08811257459061554,0.032787462374709635,0.012390016517565192,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2283,AvgTemp10cm,AvgTemp10cm,-0.08811257459062159,0.03278746237470969,0.012390016517559986,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2291,AvgTemp10cm,AvgTemp10cm,-0.08811257459061755,0.03278746237470967,0.012390016517563492,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2293,AvgTemp10cm,AvgTemp10cm,-1.0065316800316058,0.3121860698925365,0.0033932612067038626,AvgTemp10cm,0.18240857650859865,28,4
SPRUCE 2282,AvgTemp10cm,AvgTemp10cm,-0.08811257459062062,0.03278746237470968,0.012390016517560826,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2299,AvgTemp10cm,AvgTemp10cm,-0.08811257459061958,0.032787462374709656,0.012390016517561669,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2040,AvgTemp10cm,AvgTemp10cm,-0.08811257459062177,0.03278746237470973,0.012390016517559941,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2287,AvgTemp10cm,AvgTemp10cm,-0.08811257459061958,0.032787462374709656,0.012390016517561669,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2297,AvgTemp10cm,AvgTemp10cm,-0.08811257459061654,0.03278746237470973,0.012390016517564531,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 75,AvgTemp10cm,AvgTemp10cm,-0.08811257459061858,0.03278746237470969,0.012390016517562637,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 397,AvgTemp10cm,AvgTemp10cm,1.9234465530085982,0.6415151985603577,0.005909981477867155,AvgTemp10cm,0.18240857650859865,28,22
SPRUCE 2301,AvgTemp10cm,AvgTemp10cm,-0.08811257459062062,0.03278746237470968,0.012390016517560826,AvgTemp10cm,0.18240857650859865,28,1
SPRUCE 2286,AvgTemp10cm,AvgTemp10cm,-0.48470306868365215,0.1519354050372066,0.003691370159928135,AvgTemp10cm,0.18240857650859865,28,3
SPRUCE 2057,AvgTemp10cm,AvgTemp10cm,0.6721203412424139,0.27633843866326785,0.022196075108644645,AvgTemp10cm,0.3095768370416227,28,9
SPRUCE 340,AvgTemp10cm,AvgTemp10cm,-0.934590633451814,0.39828432922918805,0.026844866833183764,AvgTemp10cm,0.33875665289493795,28,9
SPRUCE 2195,AvgTemp10cm,AvgTemp10cm,0.26636956978896187,0.11344392803678967,0.02675711666326475,AvgTemp10cm,0.33875665289493795,28,4
SPRUCE 273,AvgTemp10cm,AvgTemp10cm,0.9548390627268677,0.427222471571348,0.03422551997333585,AvgTemp10cm,0.41226194513336367,28,6
SPRUCE 2069,AvgTemp10cm,AvgTemp10cm,1.043124078803656,0.4759722232955331,0.037564422847951286,AvgTemp10cm,0.43280748063943875,28,7
SPRUCE 2220,AvgTemp10cm,AvgTemp10cm,-0.26314987398915723,0.12313258576342594,0.042162638922943196,AvgTemp10cm,0.46554580477416446,28,4
SPRUCE 2076,AvgTemp10cm,AvgTemp10cm,0.38674486502450184,0.18820060473499145,0.05005888236498868,AvgTemp10cm,0.53062415306888,28,3
SPRUCE 675,AvgTemp10cm,AvgTemp10cm,1.5536486272333616,0.7873787323432855,0.05919256778573059,AvgTemp10cm,0.6033088639699464,28,18
SPRUCE 2313,AvgTemp10cm,AvgTemp10cm,0.4354371084860393,0.23627671816113385,0.07677224047165074,AvgTemp10cm,0.7535053231476831,28,4
SPRUCE 2047,AvgTemp10cm,AvgTemp10cm,0.1589545624761302,0.08857238051739325,0.08434904297537359,AvgTemp10cm,0.7707757375335862,28,2
